building_category,space_id,canonical_name,raw_name_example,raw_department_example,confidence_0_1,notes
Cruise Terminal,CT_RESTROOMS,Public Restrooms (multi-location),,,,
Cruise Terminal,CT_NURSING,Nursing / Mother's Room,,,,
Cruise Terminal,CT_PET_RELIEF,Pet Relief Area,,,,
Cruise Terminal,CT_MEDITATION,Interfaith / Meditation Room,,,,
Cultural / Museum,CUL_LOBBY,Grand Lobby / Atrium,,,,
Cultural / Museum,CUL_TICKETING,Ticketing / Admissions,,,,
Cultural / Museum,CUL_GALLERY,Gallery / Exhibition Space,,,,
Cultural / Museum,CUL_GALLERY_TEMP,Temporary / Rotating Exhibition Gallery,,,,
Cultural / Museum,CUL_THEATER,Theater / Auditorium,,,,
Cultural / Museum,CUL_BACKSTAGE,Backstage / Stagehouse,,,,
Cultural / Museum,CUL_DRESSING,Dressing Rooms / Green Room,,,,
Cultural / Museum,CUL_CONTROL_BOOTH,Lighting / Sound Control Booth,,,,
Cultural / Museum,CUL_SCENE_SHOP,Scene Shop / Workshop,,,,
Cultural / Museum,CUL_ART_HANDLING,Art Handling / Crating Room,,,,
Cultural / Museum,CUL_ART_STORAGE,Art Storage / Collection Vault,,,,
Cultural / Museum,CUL_CONSERVATION,Conservation Lab,,,,
Cultural / Museum,CUL_EDUCATION,Education / Classroom,,,,
Cultural / Museum,CUL_GIFT_SHOP,Museum Shop / Gift Store,,,,
Cultural / Museum,CUL_CAFE,Cafe / Restaurant,,,,
Cultural / Museum,CUL_EVENT_SPACE,Event / Rental Space,,,,
Cultural / Museum,CUL_COAT_CHECK,Coat Check / Bag Storage,,,,
Cultural / Museum,CUL_ADMIN,Administrative Offices,,,,
Cultural / Museum,CUL_SECURITY,Security Office / Command Center,,,,
Cultural / Museum,CUL_LOADING,Loading / Receiving,,,,
Cultural / Museum,CUL_RESTROOM_PUB,Public Restrooms,,,,
Cultural / Museum,CUL_RESTROOM_STAFF,Staff Restrooms,,,,
Cultural / Museum,CUL_MECH,Main Mechanical,,,,
Cultural / Museum,CUL_ELEC,Electrical Room,,,,
Data Center / Tech,DC_LOBBY,Security Lobby / Mantrap,,,,
Data Center / Tech,DC_SECURITY,Security Operations Center (SOC),,,,
Data Center / Tech,DC_SERVER_HALL,Server Hall / Data Hall / White Space,,,,
Data Center / Tech,DC_NOC,Network Operations Center (NOC),,,,
Data Center / Tech,DC_MEET_ME,Meet-Me Room / Cross-Connect,,,,
Data Center / Tech,DC_UPS,UPS Room / Battery Room,,,,
Data Center / Tech,DC_PDU,Power Distribution Unit (PDU) Room,,,,
Data Center / Tech,DC_SWITCHGEAR,Main Electrical Room,,,,
Data Center / Tech,DC_GENERATOR,Generator Yard / Room,,,,
Data Center / Tech,DC_FUEL,Fuel Storage,,,,
Data Center / Tech,DC_COOLING,Cooling Plant / CRAH / CRAC,,,,
Data Center / Tech,DC_STAGING,Equipment Staging / Burn-In,,,,
Data Center / Tech,DC_LOADING,Loading / Receiving,,,,
Data Center / Tech,DC_BREAK,Break Room / Staff Area,,,,
Data Center / Tech,DC_RESTROOM,Restrooms,,,,
Data Center / Tech,DC_OFFICE,Office / Admin,,,,
Fire Station / Emergency Services,FS_APPARATUS_BAY,Apparatus Bay (Drive-Through),,,,
Fire Station / Emergency Services,FS_WATCH_ROOM,Watch Room / Dispatch Area,,,,
Fire Station / Emergency Services,FS_DAY_ROOM,Day Room / Living Area,,,,
Fire Station / Emergency Services,FS_KITCHEN,Kitchen / Dining,,,,
Fire Station / Emergency Services,FS_BUNK_ROOM,Bunk Rooms,,,,
Fire Station / Emergency Services,FS_BATHROOM,Bathrooms / Showers,,,,
Fire Station / Emergency Services,FS_FITNESS,Fitness / Physical Training Room,,,,
Fire Station / Emergency Services,FS_DECON,Decontamination Room,,,,
Fire Station / Emergency Services,FS_TURNOUT,Turnout Gear Storage,,,,
Fire Station / Emergency Services,FS_EMS_SUPPLY,EMS Supply / Medical Storage,,,,
Fire Station / Emergency Services,FS_OFFICE,Station Officer / Admin Office,,,,
Fire Station / Emergency Services,FS_TRAINING,Training Room / Community Room,,,,
Fire Station / Emergency Services,FS_HOSE_TOWER,Hose Tower / Training Tower,,,,
Fire Station / Emergency Services,FS_LAUNDRY,Laundry (Residential + Gear),,,,
Fire Station / Emergency Services,FS_STORAGE,General Storage / Supply,,,,
Fire Station / Emergency Services,FS_MECH,Mechanical Room,,,,
Fire Station / Emergency Services,FS_ELEC,Electrical Room,,,,
Fire Station / Emergency Services,FS_COMM,Communications / IT Room,,,,
Healthcare (Outpatient / Inpatient mix),HC_ENTRY,Entry + Lobby,,,,
Healthcare (Outpatient / Inpatient mix),HC_REG,Registration / Check-in,,,,
Healthcare (Outpatient / Inpatient mix),HC_WAIT,Waiting Area,,,,
Healthcare (Outpatient / Inpatient mix),HC_EXAM,Exam Room (Typical),,,,
Healthcare (Outpatient / Inpatient mix),HC_PROC,Procedure Room (Minor),,,,
Healthcare (Outpatient / Inpatient mix),HC_NURSE,Nurse Station / Work Core,,,,
Healthcare (Outpatient / Inpatient mix),HC_MED,Medication Room,,,,
Healthcare (Outpatient / Inpatient mix),HC_CLEAN,Clean Supply,,,,
Healthcare (Outpatient / Inpatient mix),HC_SOILED,Soiled Utility,,,,
Healthcare (Outpatient / Inpatient mix),HC_TOILET_PUBLIC,Public Restrooms,,,,
Healthcare (Outpatient / Inpatient mix),HC_TOILET_PAT,Patient Toilet (in suite),,,,
Healthcare (Outpatient / Inpatient mix),HC_IMAGING,Imaging (Basic),,,,
Healthcare (Outpatient / Inpatient mix),HC_MECH,Main Mechanical,,,,
Higher Education,HE_ENTRY,Main Entry + Lobby,,,,
Higher Education,HE_COMMONS,Commons / Collaboration,,,,
Higher Education,HE_VERTICAL,Elevator Lobby + Stairs,,,,
Higher Education,HE_CORRIDOR,Primary Corridor,,,,
Higher Education,HE_CLASS,Classroom (Typical),,,,
Higher Education,HE_SEMINAR,Seminar Room,,,,
Higher Education,HE_FACULTY,Faculty Offices,,,,
Higher Education,HE_CONF,Meeting / Conference,,,,
Higher Education,HE_LIBRARY,Library / Study,,,,
Higher Education,HE_CAFE,Cafe / Dining (Student),,,,
Higher Education,HE_KITCHEN,Kitchen Support (if needed),,,,
Higher Education,HE_ADMIN,Admin Suite,,,,
Higher Education,HE_RESTROOM,Restrooms,,,,
Higher Education,HE_MECH,Main Mechanical,,,,
Hospitality (Hotel),HOT_LOBBY,Lobby / Reception,,,,
Hospitality (Hotel),HOT_FRONTDESK,Front Desk / Back Office,,,,
Hospitality (Hotel),HOT_LOUNGE,Lobby Lounge / Bar (Optional),,,,
Hospitality (Hotel),HOT_ELEV_LOBBY,Elevator Lobby (Typical),,,,
Hospitality (Hotel),HOT_CORRIDOR,Guestroom Corridor,,,,
Hospitality (Hotel),HOT_GUESTROOM,Guestroom (Typical Key),,,,
Hospitality (Hotel),HOT_HOUSEKEEP,Housekeeping / Linen (per floor),,,,
Hospitality (Hotel),HOT_LAUNDRY,Laundry (Back of House),,,,
Hospitality (Hotel),HOT_RESTAURANT,Restaurant / Breakfast,,,,
Hospitality (Hotel),HOT_KITCHEN,Hotel Kitchen (if any),,,,
Hospitality (Hotel),HOT_FITNESS,Fitness (Guest),,,,
Hospitality (Hotel),HOT_MEETING,Meeting / Ballroom (Full Service),,,,
Hospitality (Hotel),HOT_LOADING,Loading / Receiving,,,,
Hospitality (Hotel),HOT_MECH,Main Mechanical,,,,
Industrial / Warehouse,IND_OFFICE,Office / Admin Area,,,,
Industrial / Warehouse,IND_ENTRY,Main Entry / Lobby,,,,
Industrial / Warehouse,IND_WAREHOUSE,Warehouse / Storage Floor,,,,
Industrial / Warehouse,IND_MFG_FLOOR,Manufacturing / Production Floor,,,,
Industrial / Warehouse,IND_LOADING,Loading / Receiving,,,,
Industrial / Warehouse,IND_SHIPPING,Shipping / Staging Area,,,,
Industrial / Warehouse,IND_RECEIVING,Receiving / Inbound Staging,,,,
Industrial / Warehouse,IND_QC_LAB,Quality Control / Lab,,,,
Industrial / Warehouse,IND_TOOL_CRIB,Tool Crib / Maintenance Shop,,,,
Industrial / Warehouse,IND_BREAK,Break Room / Lunchroom,,,,
Industrial / Warehouse,IND_RESTROOM,Restrooms,,,,
Industrial / Warehouse,IND_LOCKERS,Locker Room / Changing Area,,,,
Industrial / Warehouse,IND_MECH,Main Mechanical,,,,
Industrial / Warehouse,IND_ELEC,Electrical Room,,,,
Industrial / Warehouse,IND_IT_SERVER,IT / Server Room,,,,
K-12 School,K12_ENTRY,Main Entry + Vestibule,,,,
K-12 School,K12_LOBBY,Lobby / Commons,,,,
K-12 School,K12_ADMIN,Administration Suite,,,,
K-12 School,K12_CONF,Conference / Meeting,,,,
K-12 School,K12_HEALTH,Health Suite / Nurse,,,,
K-12 School,K12_CLASS,Classroom (Typical),,,,
K-12 School,K12_SMALL_GROUP,Small Group / Intervention,,,,
K-12 School,K12_LIBRARY,Library / Media Center,,,,
K-12 School,K12_CAFE,Cafeteria / Dining,,,,
K-12 School,K12_KITCHEN,Commercial Kitchen + Support,,,,
K-12 School,K12_GYM,Gymnasium,,,,
K-12 School,K12_LOCKERS,Locker Rooms,,,,
K-12 School,K12_STAGE,Auditorium / Performance (HS),,,,
K-12 School,K12_CORRIDOR,Primary Corridor,,,,
K-12 School,K12_TOILETS,Student Restrooms,,,,
K-12 School,K12_LOADING,Loading / Receiving,,,,
K-12 School,K12_MECH,Main Mechanical,,,,
K-12 School,K12_SCIENCE_LAB,Science Laboratory,,,,
K-12 School,K12_SCIENCE_PREP,Science Prep / Storage,,,,
K-12 School,K12_ART,Art Room,,,,
K-12 School,K12_MUSIC,Music / Band Room,,,,
K-12 School,K12_TECH_ED,Tech Ed / Shop,,,,
K-12 School,K12_SPED,Special Education Resource Room,,,,
Laboratory,LAB_ENTRY,Entry / Reception,,,,
Laboratory,LAB_CORRIDOR,Primary Corridor,,,,
Laboratory,LAB_MODULE,Lab Module / Open Lab Bays,,,,
Laboratory,LAB_SUPPORT,Lab Support Rooms (shared),,,,
Laboratory,LAB_WASTE,Hazardous Waste / Soiled Holding,,,,
Laboratory,LAB_OFFICE,Write-Up / Office (Lab Adjacent),,,,
Laboratory,LAB_ADMIN,Admin / Conference,,,,
Laboratory,LAB_LOADING,Loading / Receiving,,,,
Laboratory,LAB_MECH,Main Mechanical,,,,
Multifamily Residential,MF_UNITS_ALL,Residential Units (All),,,,
Multifamily Residential,LOBBY_MAIN,Main Lobby,,,,
Multifamily Residential,VESTIBULE,Vestibule / Airlock,,,,
Multifamily Residential,MAIL_PACKAGE,Mail + Package Room,,,,
Multifamily Residential,SECURITY_CONCIERGE,Concierge / Security Desk,,,,
Multifamily Residential,TOILET_PUBLIC,Public Restroom (Single-User),,,,
Multifamily Residential,ELEV_LOBBY,Elevator Lobby (Typical Floor),,,,
Multifamily Residential,STAIR_RES,Stair (Resident),,,,
Multifamily Residential,STAIR_PUBLIC,Stair (Public/Entry),,,,
Multifamily Residential,CORRIDOR,Resident Corridor,,,,
Multifamily Residential,UNIT_ENTRY,Unit Entry Zone (internal placeholder),,,,
Multifamily Residential,TRASH_ROOM,Trash + Recycling Room,,,,
Multifamily Residential,TRASH_CHUTE,Trash Chute / Disposal Room,,,,
Multifamily Residential,JANITOR_CLOSET,Janitor Closet,,,,
Multifamily Residential,MEP_RISER,MEP Riser / Shaft Zone,,,,
Multifamily Residential,ELEC_CLOSET,Electrical Closet (Per Floor),,,,
Multifamily Residential,TELCOM_CLOSET,Telecom / Low Voltage Closet,,,,
Multifamily Residential,SPRINKLER_RISER,Fire Sprinkler Riser Room,,,,
Multifamily Residential,MECH_MAIN,Main Mechanical,,,,
Multifamily Residential,MECH_SUB,Mechanical Room (Floor),,,,
Multifamily Residential,GENERATOR,Generator Room (Optional),,,,
Multifamily Residential,FUEL_STORAGE,Fuel Storage (Optional),,,,
Multifamily Residential,IT_MDF,IT / Server Room (MDF),,,,
Multifamily Residential,SERVICE_ENTRY,Service Entry / Receiving,,,,
Multifamily Residential,LOADING_DOCK,Loading / Receiving,,,,
Multifamily Residential,SERVICE_CORRIDOR,Service Corridor,,,,
Multifamily Residential,STORAGE_BULK,Bulk Storage / Owner Storage,,,,
Multifamily Residential,LOUNGE,Resident Lounge,,,,
Multifamily Residential,AMENITY_KITCHEN,Amenity Kitchen / Serving,,,,
Multifamily Residential,FITNESS,Fitness Room,,,,
Multifamily Residential,LOCKERS,Lockers / Changing (Optional),,,,
Multifamily Residential,TOILET_AMENITY,Amenity Restroom (Single-User),,,,
Multifamily Residential,CO_WORK,Co-Working / Work Lounge,,,,
Multifamily Residential,PET_WASH,Pet Wash (Optional),,,,
Multifamily Residential,LAUNDRY_COMMON,Common Laundry Room (Optional),,,,
Multifamily Residential,PARKING_GARAGE,Parking Garage / Structured Parking,,,,
Multifamily Residential,BIKE_STORAGE,Bicycle Storage,,,,
Multifamily Residential,STROLLER_STORAGE,Stroller / Mobility Storage (Optional),,,,
Multifamily Residential,MGMT_OFFICE,Management Office / Leasing,,,,
Multifamily Residential,CONF_SMALL,Small Conference / Interview Room,,,,
Multifamily Residential,STAFF_BREAK,Staff Break Room (Optional),,,,
Multifamily Residential,OUTDOOR_TERRACE,Outdoor Terrace / Roof Deck,,,,
Multifamily Residential,STORAGE_RES,Resident Storage Lockers,,,,
Multifamily Residential,KITCHEN_UNIT,Unit Kitchen (internal component),,,,
Multifamily Residential,BATH_UNIT,Unit Bathroom (internal component),,,,
Multifamily Residential,LIVING_UNIT,Unit Living/Dining (internal component),,,,
Multifamily Residential,BEDROOM_UNIT,Unit Bedroom (internal component),,,,
Office,OFF_LOBBY,Office Lobby,,,,
Office,OFF_SECURITY,Security / Reception,,,,
Office,OFF_ELEV_LOBBY,Elevator Lobby (Typical),,,,
Office,OFF_CORRIDOR,Primary Corridor,,,,
Office,OFF_OPEN_WORK,Open Office / Work Neighborhood,,,,
Office,OFF_FOCUS,Focus Rooms / Phone Booths,,,,
Office,OFF_CONF_SMALL,Small Conference (4-8),,,,
Office,OFF_CONF_LARGE,Large Conference / Training,,,,
Office,OFF_AV,AV / IT Closet,,,,
Office,OFF_PANTRY,Pantry / Break Area,,,,
Office,OFF_RESTROOM,Restrooms,,,,
Office,OFF_MOTHER,Mother's Room (Optional),,,,
Office,OFF_CAFE,Cafe / Grab & Go (Optional),,,,
Office,OFF_CORE_MECH,Mechanical Room,,,,
Office,OFF_CORE_ELEC,Electrical Room,,,,
Parking Structure,PKG_ENTRY_EXIT,Entry / Exit Lanes,,,,
Parking Structure,PKG_PARKING_FLOOR,Parking Floor (Typical Level),,,,
Parking Structure,PKG_RAMP,Vehicle Ramps / Helixes,,,,
Parking Structure,PKG_STAIR_ELEV,Stair / Elevator Core (Pedestrian),,,,
Parking Structure,PKG_PED_LOBBY,Pedestrian Lobby / Skybridge Landing,,,,
Parking Structure,PKG_REVENUE_CTRL,Revenue Control / Cashier Booth,,,,
Parking Structure,PKG_MGMT_OFFICE,Management / Security Office,,,,
Parking Structure,PKG_EV_CHARGING,EV Charging Zone,,,,
Parking Structure,PKG_RESTROOM,Restrooms,,,,
Parking Structure,PKG_MECH,Main Mechanical,,,,
Parking Structure,PKG_PARKING_SPACE,Parking Space (Standard),,,,
Parking Structure,PKG_ADA_SPACE,Parking Space (ADA Accessible),,,,
Parking Structure,PKG_ELEC,Electrical Room,,,,
Recreation / Sports,REC_LOBBY,Lobby / Welcome Center,,,,
Recreation / Sports,REC_FRONT_DESK,Front Desk / Control Point,,,,
Recreation / Sports,REC_GYM,Gymnasium (Basketball/Volleyball),,,,
Recreation / Sports,REC_FITNESS_FLOOR,Fitness Floor (Cardio + Weights),,,,
Recreation / Sports,REC_GROUP_EX,Group Exercise / Studio,,,,
Recreation / Sports,REC_POOL,Indoor Pool / Natatorium,,,,
Recreation / Sports,REC_POOL_MECH,Pool Mechanical / Chemical Storage,,,,
Recreation / Sports,REC_POOL_OFFICE,Lifeguard / Pool Office,,,,
Recreation / Sports,REC_INDOOR_TRACK,Indoor Running Track,,,,
Recreation / Sports,REC_MULTIPURPOSE,Multipurpose Room,,,,
Recreation / Sports,REC_CHILDCARE,Childcare / Kids Zone,,,,
Recreation / Sports,REC_LOCKER_MALE,Men's Locker Room,,,,
Recreation / Sports,REC_LOCKER_FEMALE,Women's Locker Room,,,,
Recreation / Sports,REC_OFFICE,Administrative Offices,,,,
Recreation / Sports,REC_RESTROOM_PUB,Public Restrooms,,,,
Recreation / Sports,REC_STORAGE_EQUIP,Equipment Storage,,,,
Recreation / Sports,REC_MECH,Mechanical Room,,,,
Recreation / Sports,REC_ELEC,Electrical Room,,,,
Religious / Worship,REL_SANCTUARY,Sanctuary / Worship Hall,,,,
Religious / Worship,REL_NARTHEX,Narthex / Foyer / Gathering Space,,,,
Religious / Worship,REL_CHANCEL,Chancel / Bimah / Minbar Platform,,,,
Religious / Worship,REL_SACRISTY,Sacristy / Robing Room / Imam Office,,,,
Religious / Worship,REL_CHOIR_MUSIC,Choir Room / Music Suite,,,,
Religious / Worship,REL_AV_BOOTH,AV / Sound / Broadcast Booth,,,,
Religious / Worship,REL_FELLOWSHIP,Fellowship Hall / Social Hall,,,,
Religious / Worship,REL_KITCHEN,Commercial / Catering Kitchen,,,,
Religious / Worship,REL_EDUCATION,Classrooms / Sunday School,,,,
Religious / Worship,REL_NURSERY,Nursery / Childcare,,,,
Religious / Worship,REL_WUDU,Wudu / Ablution Area (Mosque),,,,
Religious / Worship,REL_OFFICE,Pastoral / Administrative Offices,,,,
Religious / Worship,REL_CONF,Conference / Meeting Room,,,,
Religious / Worship,REL_RESTROOM,Restrooms,,,,
Religious / Worship,REL_LOADING,Service Entry / Delivery,,,,
Religious / Worship,REL_STORAGE,General Storage,,,,
Religious / Worship,REL_MECH,Mechanical Room,,,,
Religious / Worship,REL_ELEC,Electrical Room,,,,
Retail / Mixed-Use,RET_ENTRY,Main Entry / Vestibule,,,,
Retail / Mixed-Use,RET_MALL_CONCOURSE,Mall Concourse / Common Area,,,,
Retail / Mixed-Use,RET_TENANT_SHELL,Retail Tenant Shell (In-line),,,,
Retail / Mixed-Use,RET_ANCHOR,Anchor Tenant Space,,,,
Retail / Mixed-Use,RET_FOOD_COURT,Food Court / Food Hall,,,,
Retail / Mixed-Use,RET_FOOD_PREP,Food Preparation / Commercial Kitchen,,,,
Retail / Mixed-Use,RET_TENANT_STOCK,Tenant Stockroom / Back-of-House,,,,
Retail / Mixed-Use,RET_SERVICE_CORRIDOR,Service Corridor,,,,
Retail / Mixed-Use,RET_VERTICAL_CIRC,Escalators / Elevators / Stairs,,,,
