building_type,from,to,weight,relationship
Convention Center / Exhibition Hall,CC_LOADING,CC_SERVICE_CORRIDOR,5,must_adjoin
Convention Center / Exhibition Hall,CC_LOADING,CC_STORAGE,3,should_adjoin
Convention Center / Exhibition Hall,CC_SERVICE_CORRIDOR,CC_LOADING,5,must_adjoin
Convention Center / Exhibition Hall,CC_SERVICE_CORRIDOR,CC_EXHIBIT_HALL,5,must_adjoin
Convention Center / Exhibition Hall,CC_SERVICE_CORRIDOR,CC_KITCHEN,3,should_adjoin
Convention Center / Exhibition Hall,CC_STORAGE,CC_LOADING,3,should_adjoin
Convention Center / Exhibition Hall,CC_STORAGE,CC_SERVICE_CORRIDOR,3,should_adjoin
Convention Center / Exhibition Hall,CC_ADMIN,CC_LOBBY,2,should_adjoin
Convention Center / Exhibition Hall,CC_SECURITY,CC_LOBBY,2,should_adjoin
Convention Center / Exhibition Hall,CC_CONCESSION,CC_LOBBY,2,should_adjoin
Convention Center / Exhibition Hall,CC_MECH,CC_ELEC,3,should_adjoin
Convention Center / Exhibition Hall,CC_ELEC,CC_MECH,3,should_adjoin
Cultural / Museum,CUL_LOBBY,CUL_TICKETING,5,must_adjoin
Cultural / Museum,CUL_LOBBY,CUL_GIFT_SHOP,3,should_adjoin
Cultural / Museum,CUL_LOBBY,CUL_COAT_CHECK,3,should_adjoin
Cultural / Museum,CUL_LOBBY,CUL_GALLERY,4,should_adjoin
Cultural / Museum,CUL_LOBBY,CUL_RESTROOM_PUB,3,should_adjoin
Cultural / Museum,CUL_TICKETING,CUL_LOBBY,5,must_adjoin
Cultural / Museum,CUL_TICKETING,CUL_SECURITY,3,should_adjoin
Cultural / Museum,CUL_GALLERY,CUL_LOBBY,4,should_adjoin
Cultural / Museum,CUL_GALLERY,CUL_GALLERY_TEMP,3,should_adjoin
Cultural / Museum,CUL_GALLERY,CUL_ART_HANDLING,2,should_adjoin
Cultural / Museum,CUL_GALLERY_TEMP,CUL_GALLERY,3,should_adjoin
Cultural / Museum,CUL_GALLERY_TEMP,CUL_ART_HANDLING,3,should_adjoin
Cultural / Museum,CUL_THEATER,CUL_LOBBY,3,should_adjoin
Cultural / Museum,CUL_THEATER,CUL_BACKSTAGE,5,must_adjoin
Cultural / Museum,CUL_THEATER,CUL_CONTROL_BOOTH,4,must_adjoin
Cultural / Museum,CUL_THEATER,CUL_RESTROOM_PUB,3,should_adjoin
Cultural / Museum,CUL_BACKSTAGE,CUL_THEATER,5,must_adjoin
Cultural / Museum,CUL_BACKSTAGE,CUL_DRESSING,3,should_adjoin
Cultural / Museum,CUL_BACKSTAGE,CUL_SCENE_SHOP,3,should_adjoin
Cultural / Museum,CUL_BACKSTAGE,CUL_LOADING,2,should_adjoin
Cultural / Museum,CUL_DRESSING,CUL_BACKSTAGE,3,should_adjoin
Cultural / Museum,CUL_DRESSING,CUL_RESTROOM_STAFF,2,should_adjoin
Cultural / Museum,CUL_CONTROL_BOOTH,CUL_THEATER,4,must_adjoin
Cultural / Museum,CUL_SCENE_SHOP,CUL_BACKSTAGE,3,should_adjoin
Cultural / Museum,CUL_SCENE_SHOP,CUL_LOADING,3,should_adjoin
Cultural / Museum,CUL_ART_HANDLING,CUL_LOADING,4,must_adjoin
Cultural / Museum,CUL_ART_HANDLING,CUL_ART_STORAGE,3,should_adjoin
Cultural / Museum,CUL_ART_HANDLING,CUL_GALLERY_TEMP,3,should_adjoin
Cultural / Museum,CUL_ART_STORAGE,CUL_ART_HANDLING,3,should_adjoin
Cultural / Museum,CUL_ART_STORAGE,CUL_CONSERVATION,3,should_adjoin
Cultural / Museum,CUL_CONSERVATION,CUL_ART_STORAGE,3,should_adjoin
Cultural / Museum,CUL_LOADING,CUL_ART_HANDLING,4,must_adjoin
Cultural / Museum,CUL_LOADING,CUL_SCENE_SHOP,3,should_adjoin
Cultural / Museum,CUL_SECURITY,CUL_TICKETING,3,should_adjoin
Cultural / Museum,CUL_MECH,CUL_ELEC,3,should_adjoin
Cultural / Museum,CUL_ELEC,CUL_MECH,3,should_adjoin
Data Center / Tech,DC_LOBBY,DC_SECURITY,5,must_adjoin
Data Center / Tech,DC_SECURITY,DC_LOBBY,5,must_adjoin
Data Center / Tech,DC_SECURITY,DC_NOC,2,should_adjoin
Data Center / Tech,DC_SERVER_HALL,DC_COOLING,5,must_adjoin
Data Center / Tech,DC_SERVER_HALL,DC_UPS,4,should_adjoin
Data Center / Tech,DC_SERVER_HALL,DC_PDU,5,must_adjoin
Data Center / Tech,DC_SERVER_HALL,DC_MEET_ME,3,should_adjoin
Data Center / Tech,DC_NOC,DC_SECURITY,2,should_adjoin
Data Center / Tech,DC_NOC,DC_SERVER_HALL,2,should_adjoin
Data Center / Tech,DC_NOC,DC_BREAK,2,should_adjoin
Data Center / Tech,DC_UPS,DC_SERVER_HALL,4,should_adjoin
Data Center / Tech,DC_UPS,DC_PDU,3,should_adjoin
Data Center / Tech,DC_UPS,DC_SWITCHGEAR,3,should_adjoin
Data Center / Tech,DC_PDU,DC_SERVER_HALL,5,must_adjoin
Data Center / Tech,DC_PDU,DC_UPS,3,should_adjoin
Data Center / Tech,DC_SWITCHGEAR,DC_UPS,3,should_adjoin
Data Center / Tech,DC_SWITCHGEAR,DC_GENERATOR,3,should_adjoin
Data Center / Tech,DC_GENERATOR,DC_SWITCHGEAR,3,should_adjoin
Data Center / Tech,DC_GENERATOR,DC_FUEL,4,should_adjoin
Data Center / Tech,DC_FUEL,DC_GENERATOR,4,should_adjoin
Data Center / Tech,DC_COOLING,DC_SERVER_HALL,5,must_adjoin
Data Center / Tech,DC_STAGING,DC_LOADING,3,should_adjoin
Data Center / Tech,DC_STAGING,DC_SERVER_HALL,2,should_adjoin
Data Center / Tech,DC_LOADING,DC_STAGING,3,should_adjoin
Data Center / Tech,DC_BREAK,DC_NOC,2,should_adjoin
Data Center / Tech,DC_BREAK,DC_RESTROOM,2,should_adjoin
Fire Station / Emergency Services,FS_APPARATUS_BAY,FS_WATCH_ROOM,5,must_adjoin
Fire Station / Emergency Services,FS_APPARATUS_BAY,FS_TURNOUT,5,must_adjoin
Fire Station / Emergency Services,FS_APPARATUS_BAY,FS_DECON,5,must_adjoin
Fire Station / Emergency Services,FS_APPARATUS_BAY,FS_HOSE_TOWER,3,should_adjoin
Fire Station / Emergency Services,FS_WATCH_ROOM,FS_APPARATUS_BAY,5,must_adjoin
Fire Station / Emergency Services,FS_WATCH_ROOM,FS_OFFICE,3,should_adjoin
Fire Station / Emergency Services,FS_WATCH_ROOM,FS_COMM,3,should_adjoin
Fire Station / Emergency Services,FS_TURNOUT,FS_APPARATUS_BAY,5,must_adjoin
Fire Station / Emergency Services,FS_DECON,FS_APPARATUS_BAY,5,must_adjoin
Fire Station / Emergency Services,FS_DECON,FS_BATHROOM,3,should_adjoin
Fire Station / Emergency Services,FS_DAY_ROOM,FS_KITCHEN,5,must_adjoin
Fire Station / Emergency Services,FS_DAY_ROOM,FS_BUNK_ROOM,3,should_adjoin
Fire Station / Emergency Services,FS_KITCHEN,FS_DAY_ROOM,5,must_adjoin
Fire Station / Emergency Services,FS_BUNK_ROOM,FS_BATHROOM,3,should_adjoin
Fire Station / Emergency Services,FS_BUNK_ROOM,FS_DAY_ROOM,3,should_adjoin
Fire Station / Emergency Services,FS_BATHROOM,FS_BUNK_ROOM,3,should_adjoin
Fire Station / Emergency Services,FS_BATHROOM,FS_DECON,3,should_adjoin
Fire Station / Emergency Services,FS_FITNESS,FS_BATHROOM,3,should_adjoin
Fire Station / Emergency Services,FS_EMS_SUPPLY,FS_APPARATUS_BAY,3,should_adjoin
Fire Station / Emergency Services,FS_OFFICE,FS_WATCH_ROOM,3,should_adjoin
Fire Station / Emergency Services,FS_TRAINING,FS_DAY_ROOM,2,should_adjoin
Fire Station / Emergency Services,FS_MECH,FS_ELEC,3,should_adjoin
Fire Station / Emergency Services,FS_ELEC,FS_MECH,3,should_adjoin
Fire Station / Emergency Services,FS_COMM,FS_WATCH_ROOM,3,should_adjoin
Healthcare (Outpatient / Inpatient mix),HC_ENTRY,HC_REG,5,should_adjoin
Healthcare (Outpatient / Inpatient mix),HC_ENTRY,HC_WAIT,5,must_adjoin
Healthcare (Outpatient / Inpatient mix),HC_REG,HC_ENTRY,5,should_adjoin
Healthcare (Outpatient / Inpatient mix),HC_REG,HC_WAIT,5,should_adjoin
Healthcare (Outpatient / Inpatient mix),HC_WAIT,HC_EXAM,3,should_adjoin
Healthcare (Outpatient / Inpatient mix),HC_WAIT,HC_TOILET_PUBLIC,3,should_adjoin
Healthcare (Outpatient / Inpatient mix),HC_EXAM,HC_NURSE,4,should_adjoin
Healthcare (Outpatient / Inpatient mix),HC_EXAM,HC_CLEAN,3,should_adjoin
Healthcare (Outpatient / Inpatient mix),HC_EXAM,HC_SOILED,3,should_adjoin
Healthcare (Outpatient / Inpatient mix),HC_PROC,HC_NURSE,3,should_adjoin
Healthcare (Outpatient / Inpatient mix),HC_NURSE,HC_EXAM,4,should_adjoin
Healthcare (Outpatient / Inpatient mix),HC_NURSE,HC_MED,3,should_adjoin
Healthcare (Outpatient / Inpatient mix),HC_MED,HC_NURSE,3,should_adjoin
Healthcare (Outpatient / Inpatient mix),HC_CLEAN,HC_EXAM,3,should_adjoin
Healthcare (Outpatient / Inpatient mix),HC_SOILED,HC_EXAM,3,should_adjoin
Healthcare (Outpatient / Inpatient mix),HC_TOILET_PUBLIC,HC_WAIT,3,should_adjoin
Healthcare (Outpatient / Inpatient mix),HC_TOILET_PAT,HC_EXAM,3,should_adjoin
Healthcare (Outpatient / Inpatient mix),HC_IMAGING,HC_WAIT,2,should_adjoin
Healthcare (Outpatient / Inpatient mix),HC_IMAGING,HC_PROC,2,should_adjoin
Higher Education,HE_ENTRY,HE_COMMONS,4,must_adjoin
Higher Education,HE_ENTRY,HE_ADMIN,2,should_adjoin
Higher Education,HE_ENTRY,HE_VERTICAL,4,should_adjoin
Higher Education,HE_COMMONS,HE_CLASS,3,should_adjoin
Higher Education,HE_COMMONS,HE_LIBRARY,3,should_adjoin
Higher Education,HE_COMMONS,HE_CAFE,2,should_adjoin
Higher Education,HE_VERTICAL,HE_CORRIDOR,4,must_adjoin
Higher Education,HE_CORRIDOR,HE_CLASS,5,must_adjoin
Higher Education,HE_CORRIDOR,HE_SEMINAR,3,must_adjoin
Higher Education,HE_CLASS,HE_CORRIDOR,5,must_adjoin
Higher Education,HE_SEMINAR,HE_CORRIDOR,3,must_adjoin
Higher Education,HE_FACULTY,HE_CONF,2,should_adjoin
Higher Education,HE_CONF,HE_FACULTY,2,should_adjoin
Higher Education,HE_LIBRARY,HE_COMMONS,3,should_adjoin
Higher Education,HE_CAFE,HE_COMMONS,2,should_adjoin
Higher Education,HE_CAFE,HE_KITCHEN,4,must_adjoin
Higher Education,HE_KITCHEN,HE_CAFE,4,must_adjoin
Higher Education,HE_ADMIN,HE_ENTRY,2,should_adjoin
Higher Education,HE_RESTROOM,HE_CORRIDOR,3,should_adjoin
Hospitality (Hotel),HOT_LOBBY,HOT_FRONTDESK,5,must_adjoin
Hospitality (Hotel),HOT_LOBBY,HOT_LOUNGE,3,should_adjoin
Hospitality (Hotel),HOT_LOBBY,HOT_ELEV_LOBBY,4,should_adjoin
Hospitality (Hotel),HOT_FRONTDESK,HOT_LOBBY,5,must_adjoin
Hospitality (Hotel),HOT_LOUNGE,HOT_LOBBY,3,should_adjoin
Hospitality (Hotel),HOT_LOUNGE,HOT_RESTAURANT,2,optional
Hospitality (Hotel),HOT_ELEV_LOBBY,HOT_CORRIDOR,5,must_adjoin
Hospitality (Hotel),HOT_CORRIDOR,HOT_GUESTROOM,5,must_adjoin
Hospitality (Hotel),HOT_CORRIDOR,HOT_ELEV_LOBBY,5,must_adjoin
Hospitality (Hotel),HOT_GUESTROOM,HOT_CORRIDOR,5,must_adjoin
Hospitality (Hotel),HOT_HOUSEKEEP,HOT_CORRIDOR,2,should_adjoin
Hospitality (Hotel),HOT_HOUSEKEEP,HOT_LAUNDRY,2,optional
Hospitality (Hotel),HOT_LAUNDRY,HOT_LOADING,3,should_adjoin
Hospitality (Hotel),HOT_RESTAURANT,HOT_KITCHEN,5,must_adjoin
Hospitality (Hotel),HOT_KITCHEN,HOT_RESTAURANT,5,must_adjoin
Hospitality (Hotel),HOT_KITCHEN,HOT_LOADING,3,should_adjoin
Hospitality (Hotel),HOT_FITNESS,HOT_LOBBY,1,optional
Hospitality (Hotel),HOT_MEETING,HOT_LOBBY,1,optional
Hospitality (Hotel),HOT_LOADING,HOT_LAUNDRY,3,should_adjoin
Hospitality (Hotel),HOT_LOADING,HOT_KITCHEN,3,should_adjoin
Industrial / Warehouse,IND_ENTRY,IND_OFFICE,4,must_adjoin
Industrial / Warehouse,IND_OFFICE,IND_ENTRY,4,must_adjoin
Industrial / Warehouse,IND_OFFICE,IND_BREAK,2,should_adjoin
Industrial / Warehouse,IND_OFFICE,IND_WAREHOUSE,3,should_adjoin
Industrial / Warehouse,IND_WAREHOUSE,IND_LOADING,5,must_adjoin
Industrial / Warehouse,IND_WAREHOUSE,IND_SHIPPING,4,must_adjoin
Industrial / Warehouse,IND_WAREHOUSE,IND_RECEIVING,4,must_adjoin
Industrial / Warehouse,IND_WAREHOUSE,IND_OFFICE,3,should_adjoin
Industrial / Warehouse,IND_MFG_FLOOR,IND_WAREHOUSE,3,should_adjoin
Industrial / Warehouse,IND_MFG_FLOOR,IND_QC_LAB,3,should_adjoin
Industrial / Warehouse,IND_MFG_FLOOR,IND_TOOL_CRIB,3,should_adjoin
Industrial / Warehouse,IND_MFG_FLOOR,IND_LOADING,2,should_adjoin
Industrial / Warehouse,IND_LOADING,IND_WAREHOUSE,5,must_adjoin
Industrial / Warehouse,IND_LOADING,IND_SHIPPING,5,must_adjoin
Industrial / Warehouse,IND_LOADING,IND_RECEIVING,5,must_adjoin
Industrial / Warehouse,IND_SHIPPING,IND_LOADING,5,must_adjoin
Industrial / Warehouse,IND_SHIPPING,IND_WAREHOUSE,4,must_adjoin
Industrial / Warehouse,IND_RECEIVING,IND_LOADING,5,must_adjoin
Industrial / Warehouse,IND_RECEIVING,IND_WAREHOUSE,4,must_adjoin
Industrial / Warehouse,IND_QC_LAB,IND_MFG_FLOOR,3,should_adjoin
Industrial / Warehouse,IND_TOOL_CRIB,IND_MFG_FLOOR,3,should_adjoin
Industrial / Warehouse,IND_BREAK,IND_OFFICE,2,should_adjoin
Industrial / Warehouse,IND_BREAK,IND_RESTROOM,3,should_adjoin
Industrial / Warehouse,IND_BREAK,IND_LOCKERS,2,should_adjoin
Industrial / Warehouse,IND_RESTROOM,IND_BREAK,3,should_adjoin
Industrial / Warehouse,IND_RESTROOM,IND_LOCKERS,3,should_adjoin
Industrial / Warehouse,IND_LOCKERS,IND_RESTROOM,3,should_adjoin
Industrial / Warehouse,IND_MECH,IND_ELEC,3,should_adjoin
Industrial / Warehouse,IND_ELEC,IND_MECH,3,should_adjoin
Industrial / Warehouse,IND_IT_SERVER,IND_OFFICE,2,should_adjoin
Industrial / Warehouse,IND_IT_SERVER,IND_ELEC,2,should_adjoin
K-12 School,K12_ENTRY,K12_ADMIN,4,should_adjoin
K-12 School,K12_ENTRY,K12_LOBBY,4,must_adjoin
K-12 School,K12_ENTRY,K12_HEALTH,2,should_adjoin
K-12 School,K12_LOBBY,K12_CAFE,3,should_adjoin
K-12 School,K12_LOBBY,K12_GYM,2,should_adjoin
K-12 School,K12_LOBBY,K12_LIBRARY,2,should_adjoin
K-12 School,K12_ADMIN,K12_ENTRY,4,should_adjoin
K-12 School,K12_ADMIN,K12_CONF,2,should_adjoin
K-12 School,K12_CONF,K12_ADMIN,2,should_adjoin
K-12 School,K12_HEALTH,K12_ADMIN,2,should_adjoin
K-12 School,K12_HEALTH,K12_ENTRY,2,should_adjoin
K-12 School,K12_CLASS,K12_SMALL_GROUP,2,should_adjoin
K-12 School,K12_CLASS,K12_CORRIDOR,5,must_adjoin
K-12 School,K12_CLASS,K12_TOILETS,2,should_adjoin
K-12 School,K12_SMALL_GROUP,K12_CLASS,2,should_adjoin
K-12 School,K12_LIBRARY,K12_LOBBY,2,should_adjoin
K-12 School,K12_CAFE,K12_KITCHEN,5,must_adjoin
K-12 School,K12_CAFE,K12_LOBBY,3,should_adjoin
K-12 School,K12_KITCHEN,K12_CAFE,5,must_adjoin
K-12 School,K12_KITCHEN,K12_LOADING,3,should_adjoin
K-12 School,K12_GYM,K12_LOCKERS,3,should_adjoin
K-12 School,K12_GYM,K12_STAGE,1,optional
K-12 School,K12_LOCKERS,K12_GYM,3,should_adjoin
K-12 School,K12_STAGE,K12_LOBBY,1,optional
K-12 School,K12_CORRIDOR,K12_CLASS,5,must_adjoin
K-12 School,K12_CORRIDOR,K12_TOILETS,3,should_adjoin
K-12 School,K12_TOILETS,K12_CORRIDOR,3,should_adjoin
K-12 School,K12_LOADING,K12_KITCHEN,3,should_adjoin
K-12 School,K12_SCIENCE_LAB,K12_SCIENCE_PREP,5,must_adjoin
K-12 School,K12_SCIENCE_LAB,K12_CLASS,2,near
K-12 School,K12_SCIENCE_LAB,K12_CORRIDOR,3,should_adjoin
K-12 School,K12_ART,K12_CORRIDOR,3,should_adjoin
K-12 School,K12_ART,K12_MUSIC,2,near
K-12 School,K12_MUSIC,K12_STAGE,3,should_adjoin
K-12 School,K12_MUSIC,K12_CORRIDOR,3,should_adjoin
K-12 School,K12_TECH_ED,K12_LOADING,3,should_adjoin
K-12 School,K12_TECH_ED,K12_CORRIDOR,3,should_adjoin
K-12 School,K12_SPED,K12_CLASS,2,near
K-12 School,K12_SPED,K12_CORRIDOR,3,should_adjoin
K-12 School,K12_CAFE,K12_GYM,2,near
Laboratory,LAB_ENTRY,LAB_ADMIN,2,should_adjoin
Laboratory,LAB_ENTRY,LAB_CORRIDOR,4,should_adjoin
Laboratory,LAB_CORRIDOR,LAB_MODULE,5,must_adjoin
Laboratory,LAB_CORRIDOR,LAB_SUPPORT,3,should_adjoin
Laboratory,LAB_MODULE,LAB_SUPPORT,4,should_adjoin
Laboratory,LAB_MODULE,LAB_OFFICE,2,should_adjoin
Laboratory,LAB_SUPPORT,LAB_MODULE,4,should_adjoin
Laboratory,LAB_SUPPORT,LAB_WASTE,3,should_adjoin
Laboratory,LAB_WASTE,LAB_SUPPORT,3,should_adjoin
Laboratory,LAB_WASTE,LAB_LOADING,3,should_adjoin
Laboratory,LAB_OFFICE,LAB_MODULE,2,should_adjoin
Laboratory,LAB_ADMIN,LAB_ENTRY,2,should_adjoin
Laboratory,LAB_LOADING,LAB_WASTE,3,should_adjoin
Multifamily Residential,MF_UNITS_ALL,CORRIDOR,5,must_adjoin
Multifamily Residential,MF_UNITS_ALL,ELEV_LOBBY,4,should_adjoin
Multifamily Residential,LOBBY_MAIN,VESTIBULE,5,must_adjoin
Multifamily Residential,LOBBY_MAIN,MAIL_PACKAGE,5,should_adjoin
Multifamily Residential,LOBBY_MAIN,SECURITY_CONCIERGE,3,should_adjoin
Multifamily Residential,LOBBY_MAIN,ELEV_LOBBY,5,must_adjoin
Multifamily Residential,LOBBY_MAIN,STAIR_PUBLIC,3,should_adjoin
Multifamily Residential,LOBBY_MAIN,TOILET_PUBLIC,2,should_adjoin
Multifamily Residential,VESTIBULE,LOBBY_MAIN,5,must_adjoin
Multifamily Residential,VESTIBULE,PARKING_GARAGE,1,optional
Multifamily Residential,VESTIBULE,TRASH_ROOM,1,avoid
Multifamily Residential,MAIL_PACKAGE,LOBBY_MAIN,5,should_adjoin
Multifamily Residential,MAIL_PACKAGE,SECURITY_CONCIERGE,3,should_adjoin
Multifamily Residential,MAIL_PACKAGE,MGMT_OFFICE,2,should_adjoin
Multifamily Residential,SECURITY_CONCIERGE,LOBBY_MAIN,3,should_adjoin
Multifamily Residential,SECURITY_CONCIERGE,MAIL_PACKAGE,3,should_adjoin
Multifamily Residential,TOILET_PUBLIC,LOBBY_MAIN,2,should_adjoin
Multifamily Residential,ELEV_LOBBY,CORRIDOR,5,must_adjoin
Multifamily Residential,ELEV_LOBBY,STAIR_RES,3,should_adjoin
Multifamily Residential,ELEV_LOBBY,TRASH_CHUTE,1,optional
Multifamily Residential,ELEV_LOBBY,MEP_RISER,2,should_adjoin
Multifamily Residential,STAIR_RES,ELEV_LOBBY,3,should_adjoin
Multifamily Residential,STAIR_RES,CORRIDOR,3,should_adjoin
Multifamily Residential,STAIR_PUBLIC,LOBBY_MAIN,3,should_adjoin
Multifamily Residential,CORRIDOR,ELEV_LOBBY,5,must_adjoin
Multifamily Residential,CORRIDOR,UNIT_ENTRY,5,must_adjoin
Multifamily Residential,CORRIDOR,TRASH_CHUTE,2,optional
Multifamily Residential,CORRIDOR,JANITOR_CLOSET,2,should_adjoin
Multifamily Residential,CORRIDOR,MEP_RISER,3,should_adjoin
Multifamily Residential,TRASH_ROOM,SERVICE_CORRIDOR,3,should_adjoin
Multifamily Residential,TRASH_ROOM,LOADING_DOCK,4,must_adjoin
Multifamily Residential,TRASH_ROOM,TRASH_CHUTE,2,optional
Multifamily Residential,TRASH_CHUTE,ELEV_LOBBY,1,optional
Multifamily Residential,TRASH_CHUTE,CORRIDOR,2,should_adjoin
Multifamily Residential,TRASH_CHUTE,TRASH_ROOM,2,optional
Multifamily Residential,JANITOR_CLOSET,CORRIDOR,2,should_adjoin
Multifamily Residential,JANITOR_CLOSET,SERVICE_CORRIDOR,2,optional
Multifamily Residential,MEP_RISER,ELEV_LOBBY,2,should_adjoin
Multifamily Residential,MEP_RISER,CORRIDOR,3,should_adjoin
Multifamily Residential,MEP_RISER,ELEC_CLOSET,3,should_adjoin
Multifamily Residential,MEP_RISER,TELCOM_CLOSET,3,should_adjoin
Multifamily Residential,ELEC_CLOSET,MEP_RISER,3,should_adjoin
Multifamily Residential,ELEC_CLOSET,CORRIDOR,1,should_adjoin
Multifamily Residential,TELCOM_CLOSET,MEP_RISER,3,should_adjoin
Multifamily Residential,SPRINKLER_RISER,SERVICE_ENTRY,3,should_adjoin
Multifamily Residential,SPRINKLER_RISER,MECH_MAIN,2,should_adjoin
Multifamily Residential,MECH_MAIN,SERVICE_ENTRY,3,should_adjoin
Multifamily Residential,MECH_MAIN,LOADING_DOCK,2,optional
Multifamily Residential,MECH_MAIN,MECH_SUB,2,optional
Multifamily Residential,MECH_SUB,MEP_RISER,3,should_adjoin
Multifamily Residential,GENERATOR,MECH_MAIN,2,should_adjoin
Multifamily Residential,GENERATOR,FUEL_STORAGE,3,optional
Multifamily Residential,FUEL_STORAGE,GENERATOR,3,optional
Multifamily Residential,IT_MDF,TELCOM_CLOSET,2,should_adjoin
Multifamily Residential,IT_MDF,MGMT_OFFICE,1,optional
Multifamily Residential,SERVICE_ENTRY,LOADING_DOCK,4,must_adjoin
Multifamily Residential,SERVICE_ENTRY,SERVICE_CORRIDOR,3,must_adjoin
Multifamily Residential,SERVICE_ENTRY,MECH_MAIN,3,should_adjoin
Multifamily Residential,LOADING_DOCK,SERVICE_ENTRY,4,must_adjoin
Multifamily Residential,LOADING_DOCK,TRASH_ROOM,4,should_adjoin
Multifamily Residential,LOADING_DOCK,STORAGE_BULK,3,should_adjoin
Multifamily Residential,SERVICE_CORRIDOR,SERVICE_ENTRY,3,must_adjoin
Multifamily Residential,SERVICE_CORRIDOR,TRASH_ROOM,3,should_adjoin
Multifamily Residential,SERVICE_CORRIDOR,MECH_MAIN,2,should_adjoin
Multifamily Residential,STORAGE_BULK,LOADING_DOCK,3,should_adjoin
Multifamily Residential,STORAGE_BULK,SERVICE_CORRIDOR,2,should_adjoin
Multifamily Residential,LOUNGE,LOBBY_MAIN,3,should_adjoin
Multifamily Residential,LOUNGE,AMENITY_KITCHEN,3,optional
Multifamily Residential,LOUNGE,OUTDOOR_TERRACE,3,optional
Multifamily Residential,LOUNGE,FITNESS,2,optional
Multifamily Residential,AMENITY_KITCHEN,LOUNGE,3,should_adjoin
Multifamily Residential,FITNESS,LOUNGE,2,optional
Multifamily Residential,FITNESS,LOCKERS,1,optional
Multifamily Residential,FITNESS,TOILET_AMENITY,1,optional
Multifamily Residential,LOCKERS,FITNESS,1,optional
Multifamily Residential,TOILET_AMENITY,FITNESS,1,optional
Multifamily Residential,TOILET_AMENITY,LOUNGE,1,optional
Multifamily Residential,CO_WORK,LOUNGE,2,optional
Multifamily Residential,CO_WORK,LOBBY_MAIN,2,optional
Multifamily Residential,PET_WASH,PARKING_GARAGE,1,optional
Multifamily Residential,PET_WASH,BIKE_STORAGE,1,optional
Multifamily Residential,LAUNDRY_COMMON,CORRIDOR,3,should_adjoin
Multifamily Residential,LAUNDRY_COMMON,ELEV_LOBBY,2,optional
Multifamily Residential,PARKING_GARAGE,ELEV_LOBBY,3,should_adjoin
Multifamily Residential,PARKING_GARAGE,BIKE_STORAGE,2,should_adjoin
Multifamily Residential,PARKING_GARAGE,PET_WASH,1,optional
Multifamily Residential,BIKE_STORAGE,ELEV_LOBBY,2,should_adjoin
Multifamily Residential,BIKE_STORAGE,PARKING_GARAGE,2,should_adjoin
Multifamily Residential,BIKE_STORAGE,SERVICE_ENTRY,1,optional
Multifamily Residential,STROLLER_STORAGE,LOBBY_MAIN,2,optional
